id,symbol,name,genesis_date,market_cap,market_rank,change_one_year,ath,ath_date,atl,atl_date,change_price,atl_market_value,atl_market_value_date,ath_market_value,ath_market_value_date,change_market_value,total_supply,current_price
bitcoin,btc,Bitcoin,2009-01-03,878501825672,1,103.66,69045.000000000000,2021-11-10T14:24:11.849Z,67.810000000000,2013-07-06T00:00:00.000Z,0.00,1278797938688.00,2021-11-09,59482398720.00,2019-02-08,2049.88,21000000,46445.000000
ethereum,eth,Ethereum,2015-07-30,463722687180,2,506.12,4878.260000000000,2021-11-10T14:24:19.604Z,0.432979000000,2015-10-20T00:00:00.000Z,0.00,571665743872.00,2021-11-09,10923365376.00,2019-02-08,5133.42,0,3903.840000
binancecoin,bnb,Binance Coin,2017-07-08,88339218674,3,1642.51,686.310000000000,2021-05-10T07:24:17.097Z,0.039817700000,2017-10-19T00:00:00.000Z,0.00,110441234432.00,2021-11-09,791125248.00,2019-01-14,13860.02,168137036,525.400000
tether,usdt,Tether,,77339106625,4,0.29,1.320000000000,2018-07-24T00:00:00.000Z,0.572521000000,2015-03-02T00:00:00.000Z,0.00,77674020864.00,2021-12-16,2037015296.00,2019-04-29,3713.13,77328369537,1.000000
solana,sol,Solana,,54062460386,5,10356.58,259.960000000000,2021-11-06T21:54:35.825Z,0.500801000000,2020-05-11T19:35:23.449Z,51808.84,77427310592.00,2021-11-07,4171226.25,2020-05-12,1856124.25,508180964,175.440000
usd-coin,usdc,USD Coin,,41887825968,6,-0.23,1.170000000000,2019-05-08T00:40:28.300Z,0.891848000000,2021-05-19T13:14:05.611Z,31.19,41909637120.00,2021-12-18,232109904.00,2019-02-26,17955.95,41930454718,0.998394
cardano,ada,Cardano,,39568765556,7,654.70,3.090000000000,2021-09-02T06:00:10.474Z,0.019252750000,2020-03-13T02:22:55.044Z,15949.66,95003729920.00,2021-09-03,733569216.00,2020-03-13,12850.89,45000000000,1.230000
ripple,xrp,XRP,,38468605330,8,41.36,3.400000000000,2018-01-07T00:00:00.000Z,0.002686210000,2014-05-22T00:00:00.000Z,0.00,84389052416.00,2021-04-15,6028784640.00,2020-03-13,1299.77,100000000000,0.814154
avalanche-2,AVAX,Avalanche,,26888349778,9,3343.96,144.960000000000,2021-11-21T14:18:56.538Z,2.800000000000,2020-12-31T13:15:21.540Z,5077.14,30066352128.00,2021-11-23,77010456.00,2020-12-09,38941.91,377752194,110.610000
polkadot,dot,Polkadot,,26506562142,10,364.84,54.980000000000,2021-11-04T14:10:09.301Z,2.700000000000,2020-08-20T05:48:11.359Z,1936.30,56578310144.00,2021-11-05,3440251648.00,2020-10-07,1544.60,1146661097,24.850000
terra-luna,luna,Terra,,24166987336,11,13188.07,77.730000000000,2021-12-05T09:49:05.708Z,0.121798000000,2020-03-18T17:03:01.083Z,63718.78,29385940992.00,2021-12-05,23631748.00,2020-03-19,124249.41,848815285,64.220000
dogecoin,doge,Dogecoin,2013-12-08,22691464679,12,4489.88,0.731578000000,2021-05-08T05:08:23.458Z,0.000086900000,2015-05-06T00:00:00.000Z,0.00,88794767360.00,2021-05-08,183588288.00,2020-03-13,48266.25,0,0.171036
shiba-inu,shib,Shiba Inu,,17351507414,13,235.24,0.000086160000,2021-10-28T03:54:55.568Z,0.000000000056,2020-11-28T11:26:25.838Z,153857042.86,41191243776.00,2021-10-30,2947395840.00,2021-07-21,1297.55,1000000000000000,0.000032
matic-network,matic,Polygon,,15080084914,14,11424.81,2.620000000000,2021-05-18T19:38:18.813Z,0.003143760000,2019-05-10T00:00:00.000Z,83239.70,16602795008.00,2021-12-09,6796234.50,2019-05-10,244194.02,10000000000,2.190000
binance-usd,busd,Binance USD,,14383468835,15,0.00,1.150000000000,2020-03-13T02:35:42.953Z,0.901127000000,2021-05-19T13:04:37.445Z,27.62,14368176128.00,2021-12-18,146879248.00,2020-07-31,9682.30,14377988824,1.000000
crypto-com-chain,cro,Crypto.com Coin,2018-11-14,13179317918,16,685.65,0.965407000000,2021-11-24T15:53:54.855Z,0.012119600000,2019-02-08T00:00:00.000Z,7865.67,22766071808.00,2021-11-24,195952400.00,2019-04-01,11518.16,30263013692,0.521104
wrapped-bitcoin,wbtc,Wrapped Bitcoin,,12042662929,17,103.74,70643.000000000000,2021-11-10T14:40:19.650Z,3139.170000000000,2019-04-02T00:00:00.000Z,2150.37,15882338304.00,2021-11-09,422145120.00,2020-09-04,3662.29,258840,46464.000000
litecoin,ltc,Litecoin,2011-10-08,10186656247,18,44.39,410.260000000000,2021-05-10T03:13:07.904Z,1.150000000000,2015-01-14T00:00:00.000Z,0.00,25677758464.00,2021-05-10,1778046080.00,2019-01-14,1344.16,84000000,147.090000
chainlink,link,Chainlink,2017-09-16,9006058609,19,43.05,52.700000000000,2021-05-10T00:13:57.214Z,0.148183000000,2017-11-29T00:00:00.000Z,0.00,22037403648.00,2021-05-10,108304384.00,2019-01-01,20247.66,1000000000,19.270000
dai,dai,Dai,,8869100569,20,0.07,1.220000000000,2020-03-13T03:02:50.373Z,0.903243000000,2019-11-25T00:04:18.137Z,35.07,8997943296.00,2021-12-06,1437645.88,2019-11-19,625780.38,8884960295,0.998247
terrausd,ust,TerraUSD,,8813961581,21,-0.17,1.090000000000,2021-01-11T22:30:57.984Z,0.857992000000,2021-05-19T13:14:26.898Z,27.04,8822626304.00,2021-12-18,13242137.00,2020-11-26,66525.40,8812345354,0.999529
algorand,algo,Algorand,,8588594319,22,306.39,3.560000000000,2019-06-20T14:51:19.480Z,0.105336000000,2020-03-13T02:20:48.438Z,3279.66,13397094400.00,2021-11-13,55222540.00,2019-06-25,24160.19,6778715392,1.350000
okb,okb,OKB,,8287195982,23,442.56,44.010000000000,2021-05-03T01:03:16.108Z,0.580608000000,2019-01-14T00:00:00.000Z,7479.99,11201080320.00,2021-05-03,174182400.00,2019-01-14,6330.66,300000000,31.530000
tron,trx,TRON,2017-08-28,8215472986,24,162.51,0.231673000000,2018-01-05T00:00:00.000Z,0.001804340000,2017-11-12T00:00:00.000Z,0.00,11920662528.00,2021-04-16,571153088.00,2020-03-13,1987.12,101900409184,0.080603
bitcoin-cash,bch,Bitcoin Cash,,8202285254,25,39.47,3785.820000000000,2017-12-20T00:00:00.000Z,76.930000000000,2018-12-16T00:00:00.000Z,0.00,28875567104.00,2021-05-12,1934769280.00,2019-01-30,1392.46,21000000,433.280000
uniswap,uni,Uniswap,,6918652710,26,312.53,44.920000000000,2021-05-03T05:25:04.822Z,1.030000000000,2020-09-17T01:20:38.214Z,4261.17,22531045376.00,2021-05-05,219913216.00,2020-09-17,10145.43,1000000000,15.220000
stellar,xlm,Stellar,,6520249059,27,42.06,0.875563000000,2018-01-03T00:00:00.000Z,0.000476120000,2015-03-05T00:00:00.000Z,0.00,16798005248.00,2021-05-12,656003584.00,2020-03-13,2460.66,50001802470,0.264279
axie-infinity,axs,Axie Infinity,,6495703617,28,13338.46,164.900000000000,2021-11-06T19:29:29.482Z,0.123718000000,2020-11-06T08:05:43.662Z,133186.99,10485978112.00,2021-11-08,7257185.00,2020-11-06,144390.98,270000000,95.440000
staked-ether,steth,Lido Staked Ether,,6136554796,29,43.96,4829.570000000000,2021-11-10T14:40:47.256Z,482.900000000000,2020-12-22T04:08:21.854Z,900.12,6968542720.00,2021-12-01,4424223.50,2020-12-24,157408.84,1579916,3867.310000
cosmos,atom,Cosmos,,6088052961,30,299.82,44.420000000000,2021-09-20T00:05:25.062Z,1.160000000000,2020-03-13T02:27:44.591Z,3729.31,12320266240.00,2021-09-20,295709792.00,2020-03-13,4066.34,0,21.440000
compound-ether,ceth,cETH,,5855162160,31,505.92,97.750000000000,2021-11-21T12:39:57.508Z,1.890000000000,2020-03-13T02:22:33.711Z,5071.96,7750648832.00,2021-11-09,40335248.00,2020-04-02,19115.57,74595512,78.120000
vechain,vet,VeChain,2017-08-15,5466442557,32,379.33,0.280991000000,2021-04-19T01:08:21.675Z,0.001917130000,2020-03-13T02:29:59.652Z,14556.86,16916710400.00,2021-04-21,146427840.00,2020-03-17,11452.93,86712634466,0.081865
ftx-token,ftt,FTX Token,,5398608033,33,696.70,84.180000000000,2021-09-09T16:59:43.151Z,1.150000000000,2019-09-06T00:00:00.000Z,7220.00,9756571648.00,2021-09-10,33168362.00,2019-09-06,29315.29,335001837,38.780000
elrond-erd-2,egld,Elrond,,5088567594,34,975.82,545.640000000000,2021-11-23T10:33:26.737Z,6.510000000000,2020-10-07T01:44:53.554Z,8281.57,9812675584.00,2021-11-23,100109904.00,2020-10-07,9701.90,20397843,250.390000
filecoin,fil,Filecoin,,5033506114,35,26.91,236.840000000000,2021-04-01T13:29:41.564Z,20.060000000000,2020-12-29T22:32:28.483Z,1080.66,12306582528.00,2021-04-17,457773216.00,2020-10-23,2588.36,1970978089,36.090000
hedera-hashgraph,hbar,Hedera,,4884097898,36,670.06,0.569229000000,2021-09-15T10:40:28.318Z,0.009861110000,2020-01-02T17:30:24.852Z,5672.46,6895650304.00,2021-11-13,16953330.00,2019-12-31,40574.31,50000000000,0.267047
near,near,Near,,4831206518,37,733.89,13.200000000000,2021-10-26T13:09:48.238Z,0.526762000000,2020-11-04T16:09:15.137Z,2405.88,6632460800.00,2021-11-12,190541584.00,2020-12-12,3380.85,1000000000,8.290000
ethereum-classic,etc,Ethereum Classic,2015-07-30,4598438639,38,439.38,167.090000000000,2021-05-06T18:34:22.133Z,0.615038000000,2016-07-25T00:00:00.000Z,0.00,17164633088.00,2021-05-07,402912640.00,2019-12-18,4160.14,210700000,34.910000
the-sandbox,sand,The Sandbox,,4580080180,39,10100.95,8.400000000000,2021-11-25T06:04:40.957Z,0.028977640000,2020-11-04T15:59:14.441Z,28887.87,6803491840.00,2021-11-29,18740526.00,2020-11-04,36203.63,3000000000,5.000000
internet-computer,icp,Internet Computer,,4506594389,40,-79.33,700.650000000000,2021-05-10T16:05:53.653Z,22.910000000000,2021-12-17T22:24:24.696Z,2958.27,18537097216.00,2021-05-23,3930264832.00,2021-07-21,371.65,469213710,23.680000
cdai,cdai,cDAI,,4290368440,41,4.30,0.031590870000,2020-10-12T21:29:00.007Z,0.007288540000,2020-03-18T04:29:40.819Z,333.43,5037150720.00,2021-05-13,10636459.00,2019-12-16,47257.40,197169585514,0.021731
decentraland,mana,Decentraland,2017-09-06,4241476807,42,3502.88,5.850000000000,2021-11-25T10:04:18.534Z,0.009236810000,2017-10-31T00:00:00.000Z,0.00,6905478656.00,2021-11-26,23668520.00,2020-03-13,29075.79,2193934427,3.190000
theta-token,theta,Theta Network,2017-12-14,4073740310,43,400.21,15.720000000000,2021-04-16T13:15:11.190Z,0.040399790000,2020-03-13T02:24:16.483Z,38811.09,14012980224.00,2021-04-17,30832514.00,2019-01-14,45348.71,1000000000,4.070000
magic-internet-money,mim,Magic Internet Money,,3969157412,44,0.00,1.040000000000,2021-10-06T13:25:17.751Z,0.919196000000,2021-12-04T05:29:56.806Z,13.14,3984083968.00,2021-12-18,869902336.00,2021-09-29,357.99,3969748141,0.998466
tezos,xtz,Tezos,,3678704843,45,83.81,9.120000000000,2021-10-04T00:41:18.025Z,0.350476000000,2018-12-07T00:00:00.000Z,0.00,7384409600.00,2021-10-04,284110784.00,2019-02-08,2499.13,0,4.230000
compound-usd-coin,cusdc,cUSDC,,3657561663,46,5.05,0.058843000000,2020-10-21T11:24:27.820Z,0.006207050000,2021-03-04T08:11:37.438Z,848.00,5190076416.00,2021-09-08,19588886.00,2020-05-29,26395.00,163277739974,0.022369
fantom,ftm,Fantom,,3579451060,47,7081.61,3.460000000000,2021-10-28T05:19:39.845Z,0.001902270000,2020-03-13T02:25:38.280Z,181787.95,8074670080.00,2021-10-28,4836655.50,2020-03-19,166847.39,3175000000,1.410000
helium,hnt,Helium,,3412645983,48,2527.66,54.880000000000,2021-11-12T23:08:25.301Z,0.113248000000,2020-04-18T00:19:10.902Z,48360.02,5297241088.00,2021-11-15,7019301.50,2020-05-09,75366.78,223000000,33.900000
gala,gala,Gala,,3377375268,49,169117.77,0.824837000000,2021-11-26T01:03:48.731Z,0.000134750000,2020-12-28T08:46:48.367Z,612023.93,5417820672.00,2021-11-26,1757762.62,2020-12-29,308122.56,36376651529,0.447604
monero,xmr,Monero,2014-04-18,3285039974,50,13.14,542.330000000000,2018-01-09T00:00:00.000Z,0.216177000000,2015-01-14T00:00:00.000Z,0.00,8612080640.00,2021-05-10,563911552.00,2020-03-13,1427.20,0,181.770000
leo-token,leo,LEO Token,2019-05-20,3272642895,51,156.48,3.950000000000,2021-05-14T13:54:31.192Z,0.799859000000,2019-12-24T15:14:35.376Z,393.84,3674792448.00,2021-05-13,800108800.00,2019-12-25,359.29,985239504,3.480000
klay-token,klay,Klaytn,,3245068876,52,128.42,4.340000000000,2021-03-30T03:44:28.828Z,0.060440000000,2020-04-29T08:19:34.574Z,7080.68,7633980416.00,2021-04-16,1967948672.00,2021-06-23,287.92,0,1.270000
pancakeswap-token,cake,PancakeSwap,,3167858803,54,2881.77,43.960000000000,2021-04-30T10:08:22.934Z,0.194441000000,2020-11-03T14:29:34.165Z,22508.40,6756647936.00,2021-04-30,11321654.00,2020-11-10,59578.98,0,12.630000
eos,eos,EOS,2017-07-01,3165920151,53,6.38,22.710000000000,2018-04-29T07:50:33.540Z,0.502400000000,2017-10-23T00:00:00.000Z,0.00,13582246912.00,2021-05-12,1764765696.00,2020-03-17,669.63,0,3.240000
the-graph,grt,The Graph,,3112358188,55,389.69,2.840000000000,2021-02-12T07:28:45.775Z,0.103254000000,2020-12-17T21:28:41.332Z,2650.50,6046696448.00,2021-11-10,148533344.00,2020-12-17,3970.94,10000000000,0.592052
iota,miota,IOTA,,3070648803,56,245.26,5.250000000000,2017-12-19T00:00:00.000Z,0.081637000000,2020-03-13T02:22:41.168Z,0.00,7053700608.00,2021-04-17,306116256.00,2020-03-17,2204.26,2779530283,1.100000
flow,flow,Flow,,2705414987,57,-38.64,42.400000000000,2021-04-05T13:49:10.098Z,4.950000000000,2021-01-27T15:34:04.000Z,756.57,5042655744.00,2021-10-17,148769408.00,2021-01-30,3289.58,1393082414,8.540000
aave,aave,Aave,,2611381899,58,128.27,661.690000000000,2021-05-18T21:19:59.514Z,26.020000000000,2020-11-05T09:20:11.928Z,2443.01,7953335296.00,2021-05-19,45070668.00,2020-10-03,17546.37,16000000,194.130000
loopring,lrc,Loopring,2017-08-01,2543679598,59,1090.80,3.750000000000,2021-11-10T14:59:53.164Z,0.019638930000,2019-12-18T13:14:41.553Z,18994.73,4161913088.00,2021-11-25,19576024.00,2019-12-18,21160.26,1373873440,2.040000
radix,xrd,Radix,,2507961027,60,0.00,0.651264000000,2021-11-14T16:09:27.130Z,0.086235000000,2021-09-13T04:50:07.104Z,655.22,0.00,,0.00,,0.00,12118137072,0.257895
bittorrent-2,btt,BitTorrent,,2494505382,61,716.90,0.013566260000,2021-04-05T04:09:06.433Z,0.000138140000,2020-03-13T02:22:57.629Z,9720.66,0.00,,0.00,,0.00,990000000000,0.002674
quant-network,qnt,Quant,,2486734336,62,1339.78,427.420000000000,2021-09-11T09:15:00.668Z,0.215773000000,2018-08-23T00:00:00.000Z,0.00,5286768640.00,2021-09-11,14677176.00,2020-03-13,35920.34,14612493,184.890000
kusama,ksm,Kusama,,2485637515,63,375.59,621.710000000000,2021-05-18T05:04:41.858Z,0.876572000000,2020-01-14T19:20:20.768Z,70825.15,0.00,,0.00,,0.00,10000000,276.630000
arweave,ar,Arweave,,2442047738,64,2047.08,89.240000000000,2021-11-05T04:14:42.689Z,0.298788000000,2020-01-31T06:47:36.543Z,29767.33,0.00,,0.00,,0.00,64598643,48.740000
bitcoin-cash-sv,bsv,Bitcoin SV,,2356523569,65,-30.63,489.750000000000,2021-04-16T17:09:04.630Z,42.020000000000,2018-11-23T00:00:00.000Z,0.00,8150426112.00,2021-04-17,914813184.00,2019-04-26,790.94,21000000,124.240000
harmony,one,Harmony,,2299718707,66,3838.59,0.379020000000,2021-10-26T09:28:49.782Z,0.001273550000,2020-03-13T02:24:14.005Z,29660.90,0.00,,0.00,,0.00,13156044840,0.200497
amp-token,amp,Amp,,2298201571,67,614.90,0.120813000000,2021-06-16T16:03:41.147Z,0.002505010000,2020-11-04T13:18:12.191Z,4722.85,0.00,,0.00,,0.00,99441574896,0.047865
blockstack,stx,Stacks,,2219446083,68,611.09,3.390000000000,2021-12-01T01:32:34.725Z,0.045596390000,2020-03-13T02:29:26.415Z,7334.80,0.00,,0.00,,0.00,1818000000,2.110000
bitcoin-cash-abc-2,bcha,Bitcoin Cash ABC,,2204246515,69,541.98,378.120000000000,2021-09-04T17:15:31.514Z,9.210000000000,2020-11-15T18:28:32.658Z,4005.54,0.00,,0.00,,0.00,21000000,117.280000
maker,mkr,Maker,,2184759079,70,350.20,6292.310000000000,2021-05-03T21:54:29.333Z,168.360000000000,2020-03-16T20:52:36.527Z,3637.41,0.00,,0.00,,0.00,987744,2420.840000
enjincoin,enj,Enjin Coin,2017-10-02,2182505677,71,1424.50,4.820000000000,2021-11-25T09:53:41.955Z,0.018659640000,2017-11-12T00:00:00.000Z,0.00,4207725568.00,2021-11-25,21603806.00,2019-02-07,19376.78,1000000000,2.330000
ecash,xec,eCash,,2137118997,72,0.00,0.000380010000,2021-09-04T17:09:31.137Z,0.000018470000,2021-07-20T20:49:46.212Z,1957.44,0.00,,0.00,,0.00,21000000000000,0.000113
zcash,zec,Zcash,,1888252352,73,113.30,3191.930000000000,2016-10-29T00:00:00.000Z,19.750000000000,2020-03-13T02:20:55.002Z,0.00,0.00,,0.00,,0.00,21000000,158.580000
theta-fuel,tfuel,Theta Fuel,,1886178774,74,1070.84,0.681590000000,2021-06-09T06:50:55.818Z,0.000908040000,2020-03-13T02:30:37.972Z,74961.67,0.00,,0.00,,0.00,5301200000,0.196656
thorchain,rune,THORChain,,1866520846,75,526.08,20.870000000000,2021-05-19T00:30:09.436Z,0.008512640000,2019-09-28T00:00:00.000Z,245064.84,0.00,,0.00,,0.00,500000000,6.270000
huobi-btc,hbtc,Huobi BTC,,1854496899,76,105.43,69325.000000000000,2021-05-10T02:33:06.038Z,11209.020000000000,2020-10-12T03:56:16.768Z,518.48,0.00,,0.00,,0.00,39884,46447.000000
kadena,kda,Kadena,,1823355523,77,6662.02,27.640000000000,2021-11-11T13:22:45.731Z,0.065811000000,2020-03-13T02:00:28.582Z,41899.06,0.00,,0.00,,0.00,1000000000,11.210000
neo,neo,NEO,,1815871666,78,45.28,198.380000000000,2018-01-15T00:00:00.000Z,0.078349000000,2016-10-21T00:00:00.000Z,0.00,0.00,,0.00,,0.00,100000000,25.750000
olympus,ohm,Olympus,,1809111813,79,0.00,1415.260000000000,2021-04-25T00:00:00.000Z,162.790000000000,2021-05-23T22:25:07.703Z,769.38,0.00,,0.00,,0.00,6927007,293.460000
waves,waves,Waves,,1736434343,80,119.41,43.010000000000,2021-05-04T06:49:41.528Z,0.130878000000,2016-08-02T00:00:00.000Z,0.00,0.00,,0.00,,0.00,100000000,17.370000
basic-attention-token,bat,Basic Attention Token,,1734480937,81,411.48,1.900000000000,2021-11-28T00:23:51.354Z,0.072394000000,2017-07-16T00:00:00.000Z,0.00,0.00,,0.00,,0.00,1500000000,1.160000
curve-dao-token,crv,Curve DAO Token,,1700577718,82,562.56,54.010000000000,2020-08-14T04:53:44.010Z,0.331577000000,2020-11-05T13:09:50.181Z,16188.83,0.00,,0.00,,0.00,1652192756,4.340000
kucoin-shares,kcs,KuCoin Token,,1629730392,83,2555.55,28.830000000000,2021-12-01T15:09:35.541Z,0.342863000000,2019-02-07T00:00:00.000Z,8308.61,0.00,,0.00,,0.00,167073331,21.150000
ecomi,omi,ECOMI,,1620713461,84,19491.72,0.013435720000,2021-03-19T17:20:53.999Z,0.000003370000,2019-11-04T10:52:42.729Z,398586.05,0.00,,0.00,,0.00,750000000000,0.006750
celsius-degree-token,cel,Celsius Network,,1602840115,85,40.32,8.050000000000,2021-06-04T00:04:12.584Z,0.026202680000,2018-12-07T00:00:00.000Z,0.00,0.00,,0.00,,0.00,694963646,3.780000
huobi-token,ht,Huobi Token,,1577225184,86,148.55,39.660000000000,2021-05-12T14:42:21.586Z,0.908620000000,2019-01-30T00:00:00.000Z,4264.86,0.00,,0.00,,0.00,500000000,9.990000
frax,frax,Frax,,1480984044,87,0.00,1.140000000000,2021-02-07T12:55:35.766Z,0.891635000000,2021-12-04T05:33:57.315Z,27.86,0.00,,0.00,,0.00,1485574682,1.000000
convex-finance,cvx,Convex Finance,,1439444244,90,0.00,39.980000000000,2021-11-11T05:01:17.408Z,1.900000000000,2021-07-20T13:17:29.183Z,2004.21,0.00,,0.00,,0.00,78615137,34.320000
celo,celo,Celo,,1439153883,88,135.98,9.820000000000,2021-08-30T14:25:09.929Z,0.800156000000,2020-05-22T04:15:27.736Z,1127.26,0.00,,0.00,,0.00,1000000000,3.920000
chiliz,chz,Chiliz,,1436378667,89,1752.26,0.878633000000,2021-03-13T08:04:21.200Z,0.004108870000,2019-09-28T00:00:00.000Z,21283.81,0.00,,0.00,,0.00,8888888888,0.268780
dash,dash,Dash,,1360061356,91,19.96,1493.590000000000,2017-12-20T00:00:00.000Z,0.213899000000,2014-02-14T00:00:00.000Z,0.00,0.00,,0.00,,0.00,18920000,129.690000
link,ln,LINK,,1346736047,92,1563.75,345.880000000000,2021-04-01T22:19:00.034Z,1.050000000000,2018-12-26T00:00:00.000Z,0.00,0.00,,0.00,,0.00,6045959,225.110000
true-usd,tusd,TrueUSD,,1335955052,93,0.03,1.620000000000,2018-08-26T20:41:09.375Z,0.883550000000,2020-03-12T10:47:51.380Z,0.00,0.00,,0.00,,0.00,1337116187,0.998938
holotoken,hot,Holo,,1335824937,94,1114.20,0.031266820000,2021-04-05T16:04:52.608Z,0.000220200000,2020-03-13T02:23:01.612Z,14099.28,0.00,,0.00,,0.00,177619433541,0.007503
compound-governance-token,comp,Compound,,1306973919,95,17.10,910.540000000000,2021-05-12T02:29:08.794Z,61.320000000000,2020-06-18T12:54:32.788Z,1384.90,0.00,,0.00,,0.00,10000000,208.240000
msol,msol,Marinade staked SOL,,1266847420,96,0.00,3541.840000000000,2021-08-23T22:16:35.076Z,42.400000000000,2021-08-30T10:27:09.425Z,8253.40,0.00,,0.00,,0.00,7072864,179.110000
nexo,nexo,NEXO,,1259703164,97,225.61,4.070000000000,2021-05-12T14:37:47.535Z,0.045152760000,2018-09-13T00:00:00.000Z,0.00,0.00,,0.00,,0.00,1000000000,2.250000
nem,xem,NEM,,1169549511,98,-53.58,1.870000000000,2018-01-07T00:00:00.000Z,0.000084820000,2015-09-05T00:00:00.000Z,0.00,0.00,,0.00,,0.00,8999999999,0.129522
paxos-standard,usdp,Pax Dollar,,1165674797,99,-0.34,1.130000000000,2018-10-15T07:09:12.459Z,0.863529000000,2021-05-19T13:14:42.046Z,0.00,0.00,,0.00,,0.00,1166685632,0.995680
yearn-finance,yfi,yearn.finance,,1152684320,100,21.28,90787.000000000000,2021-05-12T00:29:37.713Z,31.650000000000,2020-07-18T12:26:27.150Z,286746.76,0.00,,0.00,,0.00,36666,32290.000000
